hs6,hs_section,tariff_coef,std_err,t_stat,sig_1pct,dist_coef,epsilon_pt,epsilon_zeroed,flag_zero,flag_positive,flag_missing,nobs,status
010110,1,-4.188614541714149,2.3707706359038085,1.766773418853876,FALSE,-0.911675573499301,-3.1886145417141494,1,TRUE,FALSE,FALSE,64264,ok
010190,1,-0.48112891266232294,0.8967903674294952,0.5365009818753977,FALSE,-1.3048516401327537,0.5188710873376771,1,TRUE,FALSE,FALSE,66915,ok
010210,1,-13.214893529292471,3.062512757914909,4.315049299023897,TRUE,-2.5751716959020987,-12.214893529292471,-12.214893529292471,FALSE,FALSE,FALSE,41704,ok
010290,1,-9.106289218189621,0.7504588638929557,12.13429497114785,TRUE,-2.9423642703085346,-8.106289218189621,-8.106289218189621,FALSE,FALSE,FALSE,51263,ok
010310,1,-10.374053466626595,3.054410961343798,3.3964170499383277,TRUE,-2.032414829261761,-9.374053466626595,-9.374053466626595,FALSE,FALSE,FALSE,18831,ok
010391,1,-5.580465752745216,1.2169236340261247,4.585715649454973,TRUE,-2.498759336639261,-4.580465752745216,-4.580465752745216,FALSE,FALSE,FALSE,10387,ok
010392,1,-7.067864864182825,2.6161462528683215,2.701632164651986,TRUE,-3.392300450508865,-6.067864864182825,-6.067864864182825,FALSE,FALSE,FALSE,13654,ok
010410,1,-3.147950397041028,3.760171176092414,0.8371827370668777,FALSE,-2.7731466049352855,-2.147950397041028,1,TRUE,FALSE,FALSE,34031,ok
010420,1,-3.781674664034239,2.484519768285461,1.5220948178021259,FALSE,-3.281647320687749,-2.781674664034239,1,TRUE,FALSE,FALSE,23653,ok
010511,1,-2.8698087516911253,1.8246432113322693,1.572805430600169,FALSE,-2.590325041234926,-1.8698087516911253,1,TRUE,FALSE,FALSE,67316,ok
010512,1,-0.545424512502068,3.302740051670945,0.16514303395634275,FALSE,-2.5662790053930897,0.454575487497932,1,TRUE,FALSE,FALSE,12612,ok
010519,1,-1.0238938412683702,1.5125136453037453,0.6769484985788345,FALSE,-1.3373263691198702,-0.02389384126837024,1,TRUE,FALSE,FALSE,19777,ok
010594,1,-0.5453121456786589,2.408978321776183,0.22636656409452058,FALSE,-2.9078278140159055,0.45468785432134107,1,TRUE,FALSE,FALSE,23703,ok
010599,1,-0.16163683823782402,5.18374067188054,0.031181505493635343,FALSE,-3.0010894938662656,0.838363161762176,1,TRUE,FALSE,FALSE,18919,ok
010611,1,-3.179352721608023,1.623867823194262,1.9578888602854467,FALSE,-1.13725755442049,-2.179352721608023,1,TRUE,FALSE,FALSE,116737,ok
010612,1,-2.8244821611583744,1.4720463664755896,1.918745377512001,FALSE,-1.1372543743920005,-1.8244821611583744,1,TRUE,FALSE,FALSE,116737,ok
010619,1,-2.257828122462337,1.3713015225655694,1.6464855360461967,FALSE,-1.1373561560594931,-1.257828122462337,1,TRUE,FALSE,FALSE,116737,ok
010620,1,-3.2175682869088384,1.6271523589161347,1.9774228696396312,FALSE,-1.1364007182537836,-2.2175682869088384,1,TRUE,FALSE,FALSE,116737,ok
010631,1,-2.23233111138339,1.5183765418207662,1.4702091674219906,FALSE,-1.1382116135736255,-1.23233111138339,1,TRUE,FALSE,FALSE,116737,ok
010632,1,-2.3751641882476897,1.5086324551644867,1.574382269264335,FALSE,-1.1379453038795555,-1.3751641882476897,1,TRUE,FALSE,FALSE,116737,ok
