hs6,tariff_coef,std_err,dist_coef,nobs,n_pos,tariff_id,status
010110,-4.188614541714149,2.3707706359038085,-0.911675573499301,64264,4747,0.1097759222594798,ok
010190,-0.48112891266232294,0.8967903674294952,-1.3048516401327537,66915,5205,0.1496732397554932,ok
010210,-13.214893529292471,3.062512757914909,-2.5751716959020987,41704,2285,0.004295674396573612,ok
010290,-9.106289218189621,0.7504588638929557,-2.9423642703085346,51263,2507,0.04398585257527221,ok
010310,-10.374053466626595,3.054410961343798,-2.032414829261761,18831,1411,3.1460576038426226e-4,ok
010391,-5.580465752745216,1.2169236340261247,-2.498759336639261,10387,868,7.657044734575818e-4,ok
010392,-7.067864864182825,2.6161462528683215,-3.392300450508865,13654,1061,0.003915520638882896,ok
010410,-3.147950397041028,3.760171176092414,-2.7731466049352855,34031,1610,0.02552530322572112,ok
010420,-3.781674664034239,2.484519768285461,-3.281647320687749,23653,965,0.009188427367901167,ok
010511,-2.8698087516911253,1.8246432113322693,-2.590325041234926,67316,4242,0.01735270086094515,ok
010512,-0.545424512502068,3.302740051670945,-2.5662790053930897,12612,1043,0.00809377839573818,ok
010519,-1.0238938412683702,1.5125136453037453,-1.3373263691198702,19777,1137,0.007567672466945297,ok
010594,-0.5453121456786589,2.408978321776183,-2.9078278140159055,23703,1161,0.03644118116041815,ok
010599,-0.16163683823782402,5.18374067188054,-3.0010894938662656,18919,985,0.03411224943300736,ok
010611,-3.179352721608023,1.623867823194262,-1.13725755442049,116737,12755,0.13214288646686337,ok
010612,-2.8244821611583744,1.4720463664755896,-1.1372543743920005,116737,12755,0.14192120769205002,ok
010619,-2.257828122462337,1.3713015225655694,-1.1373561560594931,116737,12755,0.14116745005707323,ok
010620,-3.2175682869088384,1.6271523589161347,-1.1364007182537836,116737,12755,0.13939873487662244,ok
010631,-2.23233111138339,1.5183765418207662,-1.1382116135736255,116737,12755,0.14046050332835858,ok
010632,-2.3751641882476897,1.5086324551644867,-1.1379453038795555,116737,12755,0.1427282759377864,ok
010639,-2.0965606285792813,1.5506627419275836,-1.135688200198755,116737,12755,0.1504393756056933,ok
010690,-3.3971046217134764,1.9066541048167673,-1.13717978233126,116737,12755,0.12556206577173548,ok
020110,-12.703610897687177,1.0204236922232555,-1.5416494965802798,29933,2074,0.09066142900612213,ok
020120,-12.070092197031936,0.8883388568673992,-1.7111157264247112,44991,3349,0.1014030514285217,ok
020130,-8.239794374923553,1.1969156782530281,-1.4671710568776597,61570,5075,0.12813475537407187,ok
020210,-7.085098149599757,0.9350974357837398,-1.6192580521901292,26654,1524,0.13882511881191245,ok
020220,-4.175363836787871,0.9976726873023027,-2.001677498417999,58625,4020,0.18963981133727992,ok
020230,-2.5641643426971843,0.40452219403493084,-1.3265698196077451,84056,8117,0.18918668673340178,ok
020311,-26.244714222946957,1.8981441193376662,-2.1626728206220145,20713,1977,0.009297690559337263,ok
020312,-17.718443851149164,2.7743951319888898,-1.513414547463284,29760,2572,0.021279493515252785,ok
020319,-15.533257406834444,1.7372654488589518,-2.120430365753405,42807,3751,0.025879144763845334,ok
020321,-8.030811566118958,1.6774618499131808,-2.9025592097102213,23767,1981,0.025364311633255556,ok
020322,-10.181188029006169,1.5307347310840493,-1.140070320827053,35962,3666,0.03495256930194604,ok
020329,-12.807204811475048,1.384582144095241,-0.5663006133900006,60741,6815,0.04176893610599489,ok
020410,-4.364752403063085,0.5146553318155022,-3.759243579070347,22279,1584,0.06427666328403688,ok
020421,-13.020791550859382,2.4845251390919927,-3.356948131356036,15566,1096,0.07893554108446038,ok
020422,-10.290582718489508,1.6867850621227691,-0.1426869851032183,27372,2085,0.1077228414928227,ok
020423,-6.705120005807297,1.0269923125858171,-0.5542852679432471,18943,1540,0.0919296773393251,ok
020430,-1.2357841608388946,0.5971983137708566,-2.0522594878554963,27274,1854,0.06573835940126373,ok
020441,-9.262360067960534,1.468785870063213,-1.2940051593185629,16614,1069,0.08113409119328646,ok
020442,-2.6759096200147283,0.6170863529451844,-1.3707768500469284,41569,3534,0.08870400783826018,ok
020443,-4.741766145479986,0.7243956594301288,-0.878465174784277,34657,2978,0.1144372286987318,ok
020450,-1.198461172247508,0.7589896990837048,-2.3397512554830873,22048,1522,0.14124462209154254,ok
020500,-3.0954849607687303,1.6671512763946743,-1.184531724853562,11104,1256,0.010143912550070659,ok
020610,-14.330955789431592,2.1009456621870797,-2.012560189960504,30607,2198,0.14881421834267566,ok
020621,-21.498258586744537,7.240401976375899,-2.8764425149224597,21552,1732,0.00956851988227626,ok
020622,-4.642317255484569,1.41201099804241,-1.4149736511993838,33375,2591,0.007344781235481235,ok
020629,-2.544847529716064,0.5044375546286204,-1.476611108903564,53492,4647,0.25125126287871324,ok
020630,-6.409264792176126,1.4561309177821133,-2.454578861539653,14169,1497,8.162929245936882e-4,ok
020641,-2.2436634401405495,2.734778033841193,-1.4711920632462157,15752,1741,0.00247830254297265,ok
020649,-10.074324478115251,1.459323066489815,-2.131758917089593,37128,4410,0.01043729746612036,ok
020680,-12.02145691319448,4.518488613292455,-2.092129703736562,13029,932,0.0013971564288437835,ok
020690,-2.1594460297976275,2.047682429495854,-1.0464609165477237,29077,2037,0.02076861486421178,ok
020711,-17.801394448262158,2.2995665510165795,-3.240978928841429,36365,2220,0.029503198906689808,ok
020712,-8.310342784165703,0.8538863543795426,-1.6368949500067638,71748,4991,0.0625340181498231,ok
020713,-8.668035282298877,0.9848135502464878,-2.2801133675926586,44251,3248,0.013875239165407912,ok
020714,-3.888938173602798,0.5970114571715777,-1.3212598779712148,85827,8332,0.07282486937754169,ok
020724,-16.728492906875054,2.095262691477186,-0.8942069820333138,13430,965,0.00666526518010212,ok
020725,-10.071651605989558,1.507969397793441,-1.3810814162825038,33259,1902,0.053087789218406824,ok
020726,-20.515741818151696,1.7882138978469817,-1.6806117596038415,25267,2204,0.010700639233790653,ok
020727,-2.638656199946753,0.4058756965628097,-1.0640150442790623,51687,4516,0.046048454749134334,ok
020732,-10.483433542156744,2.1895736455449883,-2.1578002609613507,12320,1089,0.016436781700477902,ok
020733,-7.6173887128275135,1.7308379998788408,-1.7110569351560836,27241,2253,0.02144120711151157,ok
020734,-5.762654455940931,3.618566271339247,-1.1210380320350795,13200,968,0.028260328798654588,ok
020735,-4.2032462389168215,2.122563846673665,-1.7985797233146184,15641,1306,0.01838252407803929,ok
020736,-3.694481934230759,1.2421792952956232,-0.8844399965189497,40448,2977,0.06278629920799376,ok
