gtap23,s1_coef,s1_se,s1_t,s3_coef,s3_se,s3_t
aff,0.6721315544478469,0.11819660175399196,5.686555657892646,0.09925300495742602,0.09519080693308345,1.0426742681906056
b_t,-0.20485200830533695,0.2839665469554111,0.7213948632389545,0.11625494768415388,0.14661588479968754,0.7929219118582275
crp,0.01924048945971429,0.10713891164301904,0.17958451476362333,-0.06524335500828504,0.05075858138690689,1.2853660056211593
eeq,0.21516602730211487,0.1372981695588563,1.5671441796598649,-0.04601229197833857,0.06614193165198012,0.6956599365806558
enr,0.3595500293059225,0.2008250448361779,1.7903644916361092,-0.25859423654011787,0.13017467725983559,1.9865172089034644
mff,0.4553065560806128,0.11994567648939526,3.7959397070962186,0.08911127555219331,0.06002128240335252,1.4846613065237666
mvh,0.7066991974737635,0.2204627638701464,3.2055263440769193,0.13700509661972385,0.11073705215254084,1.2372109782279435
ofd,0.2757291062064461,0.11053825096390114,2.494422553297789,0.10228940298788176,0.06195895945932997,1.6509218986323488
ome,0.3789520981507097,0.12614859467578146,3.004013632689818,-0.03766355374618145,0.05072841606041064,0.7424547555620362
omf,0.24674486954471833,0.12764929305363115,1.9329904901318162,-0.13088107757097892,0.06311644542931191,2.073644621156001
otn,0.14323030979338097,0.1462927346683053,0.9790664595759463,-0.4277487303697975,0.16258702238115663,2.630890978291096
ppp,0.2015751065176567,0.15161200431114452,1.3295458194984073,-0.05890599191401541,0.04782890383886498,1.23159820079651
prf,1.2666041524793716,0.2011228886524752,6.29766289140748,0.4439872997094547,0.12729065165066358,3.4879804129523455
tal,0.7380303272854685,0.1501087038027574,4.916639132766339,-0.26160123167296767,0.09279149078021522,2.819237297227966
