gtap23,type,matched_coef,matched_SE,t_stat,other_coef,other_SE,positive,sig_1pct,sig_5pct,sig_10pct,pos_sig_1pct,pos_sig_5pct,pos_sig_10pct,matched_share,nobs,status
aff,agri,0.09925300495742602,0.09519080693308345,1.0426742681906056,-0.02753523992681993,0.04419100440554541,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0016088028476394078,12314839,ok
b_t,agri,0.11625494768415387,0.14661588479968754,0.7929219118582275,0.06266030563997557,0.058578174847875183,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0015112638519862614,1573656,ok
crp,goods,-0.06524335500828504,0.05075858138690689,1.2853660056211593,0.0018580064471743624,0.026004232604956462,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.002252190550365018,46808256,ok
eeq,goods,-0.04601229197833857,0.06614193165198012,0.6956599365806558,-0.08939458682725107,0.0414281459317698,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.001832045240973512,17680033,ok
enr,goods,-0.25859423654011787,0.13017467725983559,1.9865172089034644,-0.022849561341862324,0.06677255275182263,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0.002030108195611813,3666398,ok
mff,goods,0.08911127555219331,0.06002128240335252,1.4846613065237666,0.14784456545336164,0.04738494304471016,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.002046925692543085,46698984,ok
mvh,goods,0.13700509661972385,0.11073705215254084,1.2372109782279435,-0.008231243475524827,0.050406779254319876,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0016813244651634617,3744770,ok
ofd,agri,0.10228940298788175,0.06195895945932997,1.6509218986323486,0.07259106777544513,0.027819280552146105,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0.0016611257462208586,13548719,ok
ome,goods,-0.03766355374618145,0.05072841606041064,0.7424547555620362,-0.0013464848427379716,0.02507469159194796,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.001952973833315325,42318873,ok
omf,goods,-0.13088107757097892,0.06311644542931191,2.073644621156001,0.02050185864674344,0.04053565582863099,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0.001960079061605308,12070693,ok
otn,goods,-0.4277487303697975,0.16258702238115663,2.630890978291096,-0.04237112481267768,0.06734285214920045,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0.001878281130251245,2933699,ok
ppp,goods,-0.05890599191401541,0.04782890383886498,1.23159820079651,-0.06752799140666879,0.03323922283420665,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0019991631300073746,7838530,ok
prf,agri,0.4439872997094547,0.12729065165066358,3.4879804129523455,0.07109353451676839,0.05082991230493021,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0017613511874978664,5530959,ok
tal,goods,-0.26160123167296767,0.09279149078021522,2.819237297227966,0.010114967061391339,0.06108530713504008,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0.0021252999052535637,45796647,ok
