gtap23,run1_coef,run1_se,run1_t,run2_coef,run2_se,run2_t,run3_coef,run3_se,run3_t,run4_coef,run4_se,run4_t
aff,0.37167627212398086,0.04900260183566821,7.5848272989750445,0.17672306716603298,0.0643231899510631,2.7474238653350893,-0.02332742558168195,0.04125215371513587,0.5654838228027562,0.06579831072902179,0.05680015875752529,1.1584177257304646
b_t,0.2902619893453373,0.09314652887261146,3.116186860192115,-0.1874917438136064,0.08737042243252678,2.145940680994188,0.0853897435075971,0.05514441872531069,1.548474813615256,0.14640540081147935,0.08168066180974372,1.7924120295755803
crp,0.20388704281337008,0.06208916070357657,3.2837783681238486,0.06199291028695649,0.04650602012122604,1.3330082885046104,-0.02090549368729048,0.0235653877629029,0.8871270822116633,-0.02013272520980066,0.03600552653735693,0.5591565280655538
eeq,0.2781194422536236,0.05704101465794681,4.875780066701123,0.16144813616619344,0.05619097790650136,2.873203887549957,-0.04917205133347947,0.0390170090271796,1.2602721879379777,-0.19336408369014887,0.05026818852036628,3.846649131026612
enr,0.32939090061324966,0.09618755882408704,3.424464708743231,0.06671243824847947,0.0999062126984948,0.667750647798148,-0.06862378767573851,0.05803240064273844,1.1825081663983406,0.06948337197608728,0.09030918840435238,0.7693942687756298
mff,0.40051894900243223,0.05867462962423613,6.826101017891965,0.2724865016615382,0.0605384879204786,4.501045715239331,0.1397703668544309,0.04024967772378463,3.472583502745335,0.03448976083208401,0.03335520403084506,1.0340143864864315
mvh,0.7822636804810892,0.08324296948722787,9.397354338748253,0.5463900644481136,0.11304082281042677,4.833564113067612,-0.0486668382136786,0.04661410376919867,1.044036767383616,-0.19765249872587243,0.05380310907371394,3.673625969366845
ofd,0.3767519684591265,0.05118850067571776,7.360089932031277,0.03884836905628292,0.05535885309563115,0.7017553089326698,0.07322718289785848,0.02534869611378849,2.8887948543446527,0.14204759058113164,0.03784885371181516,3.7530222622512106
ome,0.32295651469476994,0.05146503296555498,6.275261008982962,0.2837668575330074,0.05315565323731718,5.338413512973119,-0.03101987178088468,0.02034478961295031,1.524708407952237,-0.09515461696057018,0.03194794478858361,2.978426862518338
omf,0.36474436666465865,0.08149056429503,4.475909202740715,0.29741180572634196,0.06909741475087638,4.3042392656603665,-0.01159192151331945,0.03574562486025601,0.32428923983387975,-0.14779952061112472,0.0469440558684247,3.1484182156177303
otn,0.12033489783948344,0.07083704006791904,1.6987567199886604,-0.00800305331397531,0.0749326981019447,0.1068032183104803,-0.11718763862973194,0.06922427647868662,1.6928691001315517,-0.18241261930457764,0.08563135755584736,2.130208191381424
ppp,0.4155842931184091,0.05800176492161885,7.165028403532415,0.1074047974698717,0.0616862011101895,1.7411478667330391,-0.07610274034538103,0.02961489859341424,2.569745093177687,-0.04388008470254576,0.04290018628875169,1.0228413556808027
prf,0.6547469225844202,0.07745344630394427,8.453425300341706,0.3740541160583982,0.09499916625021798,3.937446304246275,0.0557174846272236,0.05070877608717697,1.0987739978467594,0.24577106202607887,0.07061574255475828,3.4804004480374635
tal,0.16559357221735607,0.06792012520244768,2.438063412335825,0.06185938068637078,0.0741020843578125,0.8347859742740019,0.01083384077447128,0.05338836934691674,0.2029251109745114,-0.17783303664877662,0.0497454620632104,3.574859480103096
